data_folder,view_list,acc,measure1,measure2,uncertainty
BRCA,1,0.8288973384030418,0.8065905822562395,0.7774021918595325,0.0542417028501922
BRCA,2,0.7376425855513308,0.6937851628726154,0.63391341991342,0.0410843171311019
BRCA,3,0.7300380228136882,0.714245418345783,0.6542471089774844,0.058752914464778705
BRCA,1-2,0.8479087452471483,0.8442381686477048,0.7821354314784973,0.047077908994030415
BRCA,1-3,0.8212927756653993,0.8090811936360646,0.7468845848156194,0.03881438224030418
BRCA,2-3,0.7680608365019012,0.7521385683643863,0.6918791824923132,0.05469410701749049
BRCA,1-2-3,0.8403041825095057,0.8330246013956315,0.7934649225279198,0.04545447814140684
ROSMAP,1,0.8018867924528302,0.8073394495412844,0.8019607843137255,0.07811607486321226
ROSMAP,2,0.6320754716981132,0.6213592233009708,0.6340463458110517,0.07900581592941311
ROSMAP,3,0.6981132075471698,0.7142857142857143,0.696969696969697,0.09916229939622642
ROSMAP,1-2,0.839622641509434,0.8349514563106796,0.8418894830659537,0.09798960598113207
ROSMAP,1-3,0.8301886792452831,0.8301886792452831,0.8313725490196079,0.14175456785849055
ROSMAP,2-3,0.7169811320754716,0.7,0.7201426024955436,0.09032820078867924
ROSMAP,1-2-3,0.8584905660377359,0.8571428571428571,0.860071301247772,0.15883652736792456
LGG,1,0.8366013071895425,0.8322147651006712,0.8383510092370852,0.027615258258490705
LGG,2,0.7908496732026143,0.7714285714285715,0.7944748546014369,0.017957222108450983
LGG,3,0.7516339869281046,0.7654320987654321,0.7505131713992473,0.0843996616317619
LGG,1-2,0.8431372549019608,0.84,0.8446801231611358,0.08770611105882353
LGG,1-3,0.8235294117647058,0.8258064516129032,0.8239822100581593,0.1211844954379085
LGG,2-3,0.7908496732026143,0.7837837837837838,0.7927642832706123,0.16780974856209152
LGG,1-2-3,0.8300653594771242,0.8311688311688312,0.8307389668149161,0.17692303909803922
KIPAN,1,0.9242424242424242,0.9207795378933553,0.8774761163507616,0.022426917361546214
KIPAN,2,0.9797979797979798,0.9797774100943248,0.9848966950914259,0.01714260699007659
KIPAN,3,0.9242424242424242,0.9219394643285291,0.8879564020525877,0.023013185825384645
KIPAN,1-2,0.9848484848484849,0.9848412604380691,0.9886836835245876,0.0176725407139899
KIPAN,1-3,0.9343434343434344,0.931993901547193,0.8954464596705977,0.03364283007828282
KIPAN,2-3,0.9848484848484849,0.9848238717803937,0.9886606147475713,0.021928584837373737
KIPAN,1-2-3,0.9949494949494949,0.9949515782928444,0.9962345972817177,0.016683639661111114
